Rank   Event          Stage          Round          Matches  Match Code                          Match ID
--------------------------------------------------------------------------------------------------------------

--- Global Round 1 ---
177    Women's B      MAIN           MAIN SF        8        WOM_WOM_E12_BWW_M5                  1173
178    Women's B      MAIN           MAIN SF        8        WOM_WOM_E12_BWW_M6                  1174
179    Women's B      MAIN           MAIN SF        8        WOM_WOM_E12_BWL_M5                  1185
180    Women's B      MAIN           MAIN SF        8        WOM_WOM_E12_BWL_M6                  1186
181    Women's B      MAIN           MAIN SF        8        WOM_WOM_E12_BLW_M5                  1197
182    Women's B      MAIN           MAIN SF        8        WOM_WOM_E12_BLW_M6                  1198
183    Women's B      MAIN           MAIN SF        8        WOM_WOM_E12_BLL_M5                  1209
184    Women's B      MAIN           MAIN SF        8        WOM_WOM_E12_BLL_M6                  1210
185    Women's C      MAIN           MAIN SF        8        WOM_WOM_E13_BWW_M5                  1253
186    Women's C      MAIN           MAIN SF        8        WOM_WOM_E13_BWW_M6                  1254
187    Women's C      MAIN           MAIN SF        8        WOM_WOM_E13_BWL_M5                  1265
188    Women's C      MAIN           MAIN SF        8        WOM_WOM_E13_BWL_M6                  1266
189    Women's C      MAIN           MAIN SF        8        WOM_WOM_E13_BLW_M5                  1277
190    Women's C      MAIN           MAIN SF        8        WOM_WOM_E13_BLW_M6                  1278
191    Women's C      MAIN           MAIN SF        8        WOM_WOM_E13_BLL_M5                  1289
192    Women's C      MAIN           MAIN SF        8        WOM_WOM_E13_BLL_M6                  1290
193    Mixed A        RR             RR R2          8        MIX_MIX_E10_POOLA_RR_03             1051
194    Mixed A        RR             RR R2          8        MIX_MIX_E10_POOLA_RR_04             1052
195    Mixed A        RR             RR R2          8        MIX_MIX_E10_POOLB_RR_03             1057
196    Mixed A        RR             RR R2          8        MIX_MIX_E10_POOLB_RR_04             1058
197    Mixed A        RR             RR R2          8        MIX_MIX_E10_POOLC_RR_03             1063
198    Mixed A        RR             RR R2          8        MIX_MIX_E10_POOLC_RR_04             1064
199    Mixed A        RR             RR R2          8        MIX_MIX_E10_POOLD_RR_03             1069
200    Mixed A        RR             RR R2          8        MIX_MIX_E10_POOLD_RR_04             1070
201    Women's A      CONSOLATION    CONS Semi      8        WOM_WOM_E11_BWW_C1                  1096
202    Women's A      CONSOLATION    CONS Semi      8        WOM_WOM_E11_BWW_C2                  1097
203    Women's A      CONSOLATION    CONS Semi      8        WOM_WOM_E11_BWL_C1                  1108
204    Women's A      CONSOLATION    CONS Semi      8        WOM_WOM_E11_BWL_C2                  1109
205    Women's A      CONSOLATION    CONS Semi      8        WOM_WOM_E11_BLW_C1                  1120
206    Women's A      CONSOLATION    CONS Semi      8        WOM_WOM_E11_BLW_C2                  1121
207    Women's A      CONSOLATION    CONS Semi      8        WOM_WOM_E11_BLL_C1                  1132
208    Women's A      CONSOLATION    CONS Semi      8        WOM_WOM_E11_BLL_C2                  1133
209    Women's B      CONSOLATION    CONS Semi      8        WOM_WOM_E12_BWW_C1                  1176
210    Women's B      CONSOLATION    CONS Semi      8        WOM_WOM_E12_BWW_C2                  1177
211    Women's B      CONSOLATION    CONS Semi      8        WOM_WOM_E12_BWL_C1                  1188
212    Women's B      CONSOLATION    CONS Semi      8        WOM_WOM_E12_BWL_C2                  1189
213    Women's B      CONSOLATION    CONS Semi      8        WOM_WOM_E12_BLW_C1                  1200
214    Women's B      CONSOLATION    CONS Semi      8        WOM_WOM_E12_BLW_C2                  1201
215    Women's B      CONSOLATION    CONS Semi      8        WOM_WOM_E12_BLL_C1                  1212
216    Women's B      CONSOLATION    CONS Semi      8        WOM_WOM_E12_BLL_C2                  1213
217    Women's C      CONSOLATION    CONS Semi      8        WOM_WOM_E13_BWW_C1                  1256
218    Women's C      CONSOLATION    CONS Semi      8        WOM_WOM_E13_BWW_C2                  1257
219    Women's C      CONSOLATION    CONS Semi      8        WOM_WOM_E13_BWL_C1                  1268
220    Women's C      CONSOLATION    CONS Semi      8        WOM_WOM_E13_BWL_C2                  1269
221    Women's C      CONSOLATION    CONS Semi      8        WOM_WOM_E13_BLW_C1                  1280
